funded_amnt,int_rate,installment,emp_length,annual_inc,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,loan_status_binary,verification_status_encoded
3600,13.99,123.03,10.5,55000,5.91,0,675,679,1,7,0,2765,13,0,1,0,0,1,-1
24700,11.99,820.28,10.5,65000,16.06,1,715,719,4,22,0,21470,38,0,1,0,0,1,-1
20000,10.78,432.66,10.5,63000,10.78,0,695,699,0,6,0,7869,18,0,1,0,0,1,-1
35000,14.85,829.9,10.5,110000,17.06,0,785,789,0,13,0,7802,17,0,1,0,0,1,1
10400,22.45,289.91,3,104433,25.37,1,695,699,3,12,0,21929,35,0,1,0,0,1,1
11950,13.44,405.18,4,34000,10.2,0,690,694,0,5,0,8822,6,0,0,0,1,1,1
20000,9.17,637.58,10.5,180000,14.67,0,680,684,0,12,0,87329,27,0,1,0,0,1,-1
20000,8.49,631.26,10.5,85000,17.61,1,705,709,0,8,0,826,15,0,1,0,0,1,-1
10000,6.49,306.45,6,85000,13.07,0,685,689,1,14,1,10464,23,0,0,0,1,1,-1
8000,11.48,263.74,10.5,42000,34.8,0,700,704,0,8,0,7034,18,0,1,0,0,1,-1
22400,12.88,508.3,6,95000,22.98,0,710,714,0,16,0,13028,35,0,1,0,0,1,-1
16000,12.88,363.07,1,70000,26.4,0,720,724,0,13,0,28705,29,0,1,0,0,1,-1
1400,12.88,47.1,3,64000,34.95,0,700,704,0,17,0,37828,24,0,1,0,0,1,-1
18000,19.48,471.7,7,150000,9.39,0,665,669,1,18,1,14052,27,0,0,0,1,0,-1
28000,6.49,858.05,10.5,92000,21.6,0,720,724,0,16,0,51507,24,0,1,0,0,1,-1
9600,7.49,298.58,8,60000,22.44,0,695,699,0,7,0,7722,9,0,1,0,0,1,-1
25000,7.49,777.55,10.5,109000,26.02,0,745,749,1,9,0,20862,19,0,1,0,0,1,-1
18000,11.99,400.31,10.5,112000,8.68,0,800,804,0,17,0,10711,27,0,1,0,0,1,-1
23000,8.49,471.77,5,64000,18.28,0,700,704,0,21,0,24940,33,0,0,0,1,1,-1
8650,19.89,320.99,8,55000,25.49,0,675,679,4,18,1,9568,19,0,0,0,1,1,0
29900,12.88,678.49,10.5,65000,21.77,0,715,719,0,15,0,31682,31,0,1,0,0,1,0
16000,14.85,379.39,10.5,48000,33.18,0,685,689,0,11,2,19108,19,0,1,0,0,1,-1
28000,13.44,949.38,2,125000,7.49,0,695,699,0,6,0,22780,22,0,0,1,0,1,1
5000,13.44,169.54,2,79000,12.7,0,665,669,0,3,0,9441,5,0,0,0,1,1,0
6000,7.49,186.61,10.5,100000,13.28,1,695,699,1,9,0,8563,16,0,1,0,0,1,-1
4225,14.85,146.16,5,35000,15.22,2,725,729,0,6,0,1058,6,0,0,0,1,0,1
20000,5.32,602.3,9,65000,18.83,0,835,839,1,12,0,2269,17,0,0,1,0,1,-1
16000,17.97,406.04,0.5,109000,23.35,0,680,684,1,11,0,42469,33,0,1,0,0,1,1
17600,5.32,530.03,0.5,88000,26.59,0,780,784,0,20,0,12203,42,0,1,0,0,1,1
15000,5.32,451.73,10.5,44000,15.34,0,685,689,1,7,0,17003,21,0,1,0,0,1,1
16000,12.88,538.18,10.5,65000,18.96,0,675,679,0,7,1,5157,20,0,1,0,0,0,-1
24250,24.24,701.01,4,75000,20.84,0,660,664,0,18,0,24799,21,0,1,0,0,0,-1
12000,10.78,391.62,1,98000,24.04,0,690,694,0,15,1,20462,39,0,0,0,1,1,-1
25000,13.99,581.58,9,79000,34.53,0,730,734,1,33,0,22519,72,0,1,0,0,0,-1
16800,12.88,381.23,10.5,118000,34.29,0,680,684,0,11,1,7849,46,0,1,0,0,1,-1
7000,7.49,217.72,10.5,59000,13.06,1,730,734,1,10,0,10467,34,0,1,0,0,1,-1
21000,13.99,488.53,0.5,52000,14.47,0,680,684,1,5,0,20374,15,0,0,0,1,1,1
27500,14.85,652.06,10.5,195000,6.79,0,700,704,0,14,0,34974,19,0,1,0,0,1,-1
7200,11.48,237.36,10.5,72500,8.47,0,725,729,1,5,0,5449,7,0,1,0,0,1,0
20000,14.85,691.84,6,110000,12.45,0,690,694,0,8,0,21374,12,0,0,0,1,1,-1
20000,15.77,700.88,5,70000,22.21,0,680,684,0,24,0,19077,63,0,0,0,1,1,-1
